NAME,LIGHT_YEARS_FROM_EARTH,PLANET_MASS,STELLAR_MAGNITUDE,DISCOVERY_DATE,HYPER_LINK,PLANET_TYPE,PLANET_RADIUS,MASS,ORBITAL_RADIUS,ORBITAL_PERIOD,ECCENTRICITY
11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007,https://exoplanets.nasa.gov//exoplanet-catalog/6988/11-comae-berenices-b/, Gas Giant , 2007 , 19.4 Jupiters , 1.08 x Jupiter, 1.29 AU , 326 days , 0.23 
11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009,https://exoplanets.nasa.gov//exoplanet-catalog/6989/11-ursae-minoris-b/, Gas Giant , 2009 , 14.74 Jupiters , 1.09 x Jupiter, 1.53 AU , 1.4 years , 0.08 
14 Andromedae b,246,4.8 Jupiters,5.23133,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6990/14-andromedae-b/, Gas Giant , 2008 , 4.8 Jupiters , 1.15 x Jupiter, 0.83 AU , 185.8 days , 0.0 
14 Herculis b,58,4.66 Jupiters,6.61935,2002,https://exoplanets.nasa.gov//exoplanet-catalog/6991/14-herculis-b/, Gas Giant , 2002 , 4.66 Jupiters , 1.15 x Jupiter, 2.93 AU , 4.9 years , 0.37 
16 Cygni B b,69,1.78 Jupiters,6.215,1996,https://exoplanets.nasa.gov//exoplanet-catalog/6992/16-cygni-b-b/, Gas Giant , 1996 , 1.78 Jupiters , 1.2 x Jupiter, 1.66 AU , 2.2 years , 0.68 
18 Delphini b,249,10.3 Jupiters,5.51048,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6993/18-delphini-b/, Gas Giant , 2008 , 10.3 Jupiters , 1.11 x Jupiter, 2.6 AU , 2.7 years , 0.08 
1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008,https://exoplanets.nasa.gov//exoplanet-catalog/7061/1rxs-j1609291-210524-b/, Gas Giant , 2008 , 8 Jupiters , 1.664 x Jupiter , 330.0 AU , 6505.9 years , 0.0 
24 Bootis b,313,0.91 Jupiters,5.59,2018,https://exoplanets.nasa.gov//exoplanet-catalog/7274/24-bootis-b/, Gas Giant , 2018 , 0.91 Jupiters , 1.24 x Jupiter, 0.19 AU , 30.4 days , 0.04 
24 Sextantis b,235,1.99 Jupiters,6.4535,2010,https://exoplanets.nasa.gov//exoplanet-catalog/6994/24-sextantis-b/, Gas Giant , 2010 , 1.99 Jupiters , 1.19 x Jupiter, 1.333 AU , 452.8 days , 0.09 
24 Sextantis c,235,0.86 Jupiters,6.4535,2010,https://exoplanets.nasa.gov//exoplanet-catalog/6995/24-sextantis-c/, Gas Giant , 2010 , 0.86 Jupiters , 1.24 x Jupiter, 2.08 AU , 2.4 years , 0.29 
11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007,https://exoplanets.nasa.gov//exoplanet-catalog/6988/11-comae-berenices-b/, Gas Giant , 2007 , 19.4 Jupiters , 1.08 x Jupiter, 1.29 AU , 326 days , 0.23 
11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009,https://exoplanets.nasa.gov//exoplanet-catalog/6989/11-ursae-minoris-b/, Gas Giant , 2009 , 14.74 Jupiters , 1.09 x Jupiter, 1.53 AU , 1.4 years , 0.08 
14 Andromedae b,246,4.8 Jupiters,5.23133,2008,https://exoplanets.nasa.gov//exoplanet-catalog/6990/14-andromedae-b/, Gas Giant , 2008 , 4.8 Jupiters , 1.15 x Jupiter, 0.83 AU , 185.8 days , 0.0 
